trade_id,trade_date,asset,side,quantity,execution_price,strategy_return_after_cost,total_cost,trader,strategy,notional,expected_pnl
T00001,2021-03-12,AUDUSD,BUY,11200,0.77876,0.006358615939954,0.0008339476971552,Desk_A,MA_Crossover,8722.11,48.19
T00002,2021-03-17,SP500,BUY,18900,3974.12012,0.0014557317305671,0.0014236503999637,Desk_C,MA_Crossover,75110870.27,2409.66
T00003,2021-03-29,AUDUSD,SELL,10200,0.76374,-0.00073889266864,0.00073889266864,Desk_C,MA_Crossover,7790.15,-11.51
T00004,2021-04-14,NASDAQ100,BUY,2400,13803.91016,-0.0146566926734208,0.0016026616001879,Desk_B,MA_Crossover,33129384.38,-538662.4
T00005,2021-04-26,GOLD,BUY,11600,1779.19995,0.000103400281812,0.0011346138835649,Desk_A,MA_Crossover,20638719.42,-21282.93
T00006,2021-04-30,EURUSD,BUY,8100,1.21271,-0.0010433965018268,0.0003157201449235,Desk_C,MA_Crossover,9822.95,-13.35
T00007,2021-05-06,AUDUSD,BUY,19800,0.77512,0.0042345899979862,0.000613802875604,Desk_B,MA_Crossover,15347.38,55.57
T00008,2021-05-27,NASDAQ100,SELL,3000,13657.84961,-0.0016118080801378,0.0016118080801378,Desk_C,MA_Crossover,40973548.83,-132082.99
T00009,2021-06-16,AUDUSD,SELL,11200,0.76862,-0.000556580836905,0.000556580836905,Desk_C,MA_Crossover,8608.54,-9.58
T00010,2021-06-17,NASDAQ100,BUY,13100,14163.80957,0.0117791256473425,0.0011508377666835,Desk_A,MA_Crossover,185545905.37,1972035.3
T00011,2021-06-25,EURUSD,SELL,8400,1.19303,-0.0004237688069863,0.0004237688069863,Desk_C,MA_Crossover,10021.45,-8.49
T00012,2021-07-01,GOLD,SELL,9700,1775.90002,-0.0013483097531108,0.0013483097531108,Desk_A,MA_Crossover,17226230.19,-46452.59
T00013,2021-09-13,GOLD,BUY,12600,1792.0,0.0003875025546227,0.0009535929118524,Desk_C,MA_Crossover,22579200.0,-12781.87
T00014,2021-09-20,EURUSD,BUY,10900,1.17299,-0.003468141969654,0.0002776720069653,Desk_B,MA_Crossover,12785.59,-47.89
T00015,2021-09-23,GOLD,SELL,11300,1747.69995,-0.0011438547412184,0.0011438547412184,Desk_C,MA_Crossover,19749009.43,-45180.0
T00016,2021-09-27,AUDUSD,BUY,16100,0.72661,-0.0051553038057906,0.0005412898202037,Desk_A,MA_Crossover,11698.42,-66.64
T00017,2021-10-01,AUDUSD,SELL,14000,0.72312,-0.0005657904723211,0.0005657904723211,Desk_A,MA_Crossover,10123.68,-11.46
T00018,2021-10-01,EURUSD,SELL,15900,1.15745,-0.000289558776509,0.000289558776509,Desk_B,MA_Crossover,18403.46,-10.66
T00019,2021-10-01,SP500,SELL,6200,4357.04004,-0.0011201234898613,0.0011201234898613,Desk_C,MA_Crossover,27013648.25,-60517.24
T00020,2021-10-06,NASDAQ100,SELL,1100,14766.75,-0.0014268227204816,0.0014268227204816,Desk_C,MA_Crossover,16243425.0,-46352.98
T00021,2021-10-21,AUDUSD,BUY,9700,0.75153,0.0045242773572848,0.0005718389077272,Desk_B,MA_Crossover,7289.84,28.81
T00022,2021-11-01,SP500,BUY,16700,4613.66992,0.0009864578939555,0.0008136192491785,Desk_C,MA_Crossover,77048287.66,13316.92
T00023,2021-11-03,GOLD,BUY,4700,1763.59998,-0.0150571548825997,0.0010246305514545,Desk_C,MA_Crossover,8288919.91,-133300.63
T00024,2021-11-03,NASDAQ100,BUY,13900,16144.5,0.0097755790704257,0.0009935472900219,Desk_A,MA_Crossover,224408550.0,1970763.02
T00025,2021-11-29,AUDUSD,SELL,19700,0.71428,-0.0004966945466307,0.0004966945466307,Desk_C,MA_Crossover,14071.32,-13.98
T00026,2021-12-16,GOLD,SELL,3000,1796.59998,-0.0011152147137372,0.0011152147137372,Desk_C,MA_Crossover,5389799.94,-12021.57
T00027,2022-01-10,NASDAQ100,SELL,17000,15614.42969,-0.0017681027681493,0.0017681027681493,Desk_B,MA_Crossover,265445304.73,-938669.16
T00028,2022-01-14,GOLD,BUY,6700,1816.5,-0.0035574910998032,0.000976801830154,Desk_B,MA_Crossover,12170550.0,-55184.84
T00029,2022-01-17,AUDUSD,BUY,3100,0.72165,-0.0096278790830434,0.0006000868111537,Desk_A,MA_Crossover,2237.12,-22.88
T00030,2022-01-18,EURUSD,BUY,9800,1.14106,-0.0003908913299202,0.0003795039417347,Desk_C,MA_Crossover,11182.39,-8.61
T00031,2022-01-26,SP500,SELL,5800,4349.93018,-0.0010994829909133,0.0010994829909133,Desk_C,MA_Crossover,25229595.04,-55479.02
T00032,2022-02-04,AUDUSD,SELL,6800,0.7145,-0.0006666650231612,0.0006666650231612,Desk_C,MA_Crossover,4858.6,-6.48
T00033,2022-02-16,EURUSD,SELL,17900,1.13568,-0.0005143661245971,0.0005143661245971,Desk_A,MA_Crossover,20328.67,-20.91
T00034,2022-02-18,EURUSD,BUY,19700,1.13665,-0.001283887648978,0.0005110105929155,Desk_A,MA_Crossover,22392.0,-40.19
T00035,2022-02-23,EURUSD,SELL,2400,1.13291,-0.0005176764106886,0.0005176764106886,Desk_B,MA_Crossover,2718.98,-2.82
T00036,2022-02-25,EURUSD,BUY,19900,1.11907,-0.0106924294268035,0.0005201417275607,Desk_A,MA_Crossover,22269.49,-249.7
T00037,2022-03-07,AUDUSD,BUY,19900,0.73948,0.0073437958124185,0.0005352771886912,Desk_C,MA_Crossover,14715.65,100.19
T00038,2022-03-07,EURUSD,SELL,18400,1.08745,-0.0005410632042867,0.0005410632042867,Desk_C,MA_Crossover,20009.08,-21.65
T00039,2022-04-05,SP500,BUY,19900,4525.12012,-0.0140653480985403,0.001513627296733,Desk_A,MA_Crossover,90049890.39,-1402885.03
T00040,2022-04-06,NASDAQ100,BUY,6000,14498.88965,-0.0239390677316143,0.0022294784269501,Desk_C,MA_Crossover,86993337.9,-2276489.18
T00041,2022-04-29,GOLD,SELL,11700,1909.30005,-0.001082330545779,0.001082330545779,Desk_C,MA_Crossover,22338810.58,-48355.95
T00042,2022-04-29,NASDAQ100,SELL,6400,12854.7998,-0.002447684043585,0.002447684043585,Desk_A,MA_Crossover,82270718.72,-402745.45
T00043,2022-05-03,SP500,SELL,7300,4175.47998,-0.0017881040190596,0.0017881040190596,Desk_A,MA_Crossover,30481003.85,-109006.41
